depth,Total Pollen and Spores,Control,Acer,Quercus,Lithocarpus,Juglans,RRA,Hedyosmum,Abies,Erodium cicutarium,Eucalyptus,Salix,Myrica,Corylus,Alnus,Artemisia,Ambrosia,Liguliflorae,COMPOSITAE,CRUCIFERAE,TCT,Eriogonum spp.,Rumex spp.,Rumex acetosella,POLEMONIACEAE,Sequoia,RANUNCULACEAE,UMBELLIFERAE,Toxicodendron diversiloba,Plantago maritima,Plantago lanceolata,GRAMINEAE,Zea,CHENOPODIACEAE,Pseudostuga,Typha latifolia,Typha/ Sparganium,CYPERACEAE,Myriophyllum,Potamogeton,Triglochin,Isoetes,Dryopteris,Polypodium,Pteridium,Trilete Spore,Monolete Spore,EUPHORBIACEAE / RUTACEAE /,Pediastrum,Indeterminate,Unknown,
277.0,512.0,111.0,0,36.00,0,0,3.000,1.000,0,0,0,7.000,2.000,0,30.00,11.00,4.000,1.000,9.000,0,16.00,1.000,2.000,0,0,47.00,0,3.000,0,0,0,23.00,0,74.00,6.000,11.00,32.00,70.00,22.00,0,1.000,0,3.000,1.000,0,3.000,30.00,0,0,23.00,0,
279.0,498.0,78.00,1.000,24.00,2.000,0,7.000,0,0,0,0,1.000,2.000,0,28.00,0,1.000,2.000,8.000,0,9.000,4.000,0,0,0,43.00,0,0,0,0,0,21.00,0,78.00,5.000,14.00,13.00,148.0,4.000,0,3.000,0,2.000,0,0,8.000,30.00,0,0,19.00,0,
280.0,518.0,107.0,8.000,28.00,0,0,4.000,0,0,0,0,11.00,2.000,0,23.00,12.00,0,0,22.00,0,5.000,0,2.000,0,1.000,47.00,0,4.000,1.000,0,0,20.00,0,115.0,1.000,24.00,12.00,116.0,0,0,0,0,0,4.000,0,9.000,15.00,0,0,16.00,0,
281.0,428.0,122.0,4.000,29.00,0,0,7.000,0,0,0,0,4.000,7.000,0,19.00,5.000,1.000,0,12.00,0,4.000,1.000,0,0,0,38.00,0,0,0,0,0,11.00,0,89.00,4.000,18.00,15.00,86.00,0,0,0,0,0,1.000,0,3.000,35.00,0,0,27.00,0,
283.0,506.0,108.0,2.000,35.00,1.000,0,8.000,0,0,0,0,7.000,2.000,0,41.00,8.000,3.000,0,11.00,0,13.00,2.000,1.000,0,0,30.00,0,4.000,1.000,1.000,0,17.00,0,101.0,4.000,18.00,18.00,97.00,3.000,0,1.000,0,2.000,2.000,0,7.000,14.00,0,0,22.00,0,
285.0,479.0,112.0,1.000,32.00,0,0,9.000,0,101.0,0,0,8.000,4.000,0,25.00,9.000,3.000,0,11.00,0,11.00,0,0,0,1.000,33.00,0,4.000,0,0,0,17.00,0,79.00,0,18.00,18.00,87.00,7.000,0,4.000,0,1.000,0,0,5.000,17.00,0,0,36.00,3.000,
287.0,515.0,39.00,1.000,20.00,0,0,7.000,0,0,0,0,3.000,2.000,0,18.00,2.000,1.000,0,4.000,0,3.000,0,1.000,0,1.000,27.00,0,5.000,1.000,1.000,0,10.00,0,37.00,5.000,9.000,2.000,309.0,1.000,0,5.000,0,4.000,0,0,2.000,11.00,0,0,7.000,0,
288.0,514.0,49.00,2.000,14.00,0,0,5.000,0,0,0,0,6.000,0,0,15.00,3.000,0,0,1.000,0,4.000,0,0,0,0,18.00,0,6.000,0,0,0,11.00,0,50.00,2.000,23.00,4.000,314.0,0,2.000,0,0,1.000,1.000,0,12.00,9.000,0,0,0,0,
289.0,502.0,82.00,0,15.00,1.000,0,1.000,0,0,0,0,5.000,4.000,0,11.00,7.000,4.000,0,4.000,0,2.000,1.000,0,0,1.000,36.00,0,0,1.000,0,0,7.000,0,212.0,6.000,9.000,0,121.0,0,0,4.000,0,0,1.000,0,1.000,18.00,0,0,12.00,0,
290.0,457.0,48.00,3.000,11.00,0,0,1.000,0,0,0,0,0,4.000,0,10.00,3.000,1.000,0,6.000,0,5.000,0,0,0,0,22.00,0,2.000,0,0,0,8.000,0,224.0,6.000,18.00,0,74.00,0,0,0,0,1.000,0,0,5.000,11.00,0,0,20.00,0,
291.0,463.0,35.00,1.000,13.00,1.000,0,0,0,0,0,0,2.000,5.000,0,18.00,5.000,2.000,0,6.000,0,2.000,0,1.000,0,0,28.00,0,0,0,0,0,12.00,0,195.0,3.000,18.00,0,105.0,0,0,2.000,0,2.000,0,0,2.000,9.000,0,0,9.000,0,
293.0,641.0,37.00,1.000,6.000,0,0,4.000,0,0,0,0,1.000,1.000,0,8.000,3.000,1.000,0,11.00,0,2.000,1.000,0,0,0,11.00,0,0,0,0,0,12.00,0,70.00,0,75.00,0,405.0,0,0,0,1.000,0,0,0,0,5.000,0,0,12.00,0,
295.0,486.0,21.00,1.000,13.00,0,0,2.000,0,0,0,0,3.000,1.000,0,6.000,0,0,0,7.000,0,4.000,0,0,0,1.000,43.00,0,1.000,1.000,0,0,15.00,0,240.0,0,38.00,0,26.00,0,0,1.000,0,4.000,1.000,0,3.000,29.00,0,0,15.00,0,
297.0,445.0,52.00,2.000,15.00,2.000,0,5.000,0,0,0,0,3.000,5.000,0,12.00,2.000,0,1.000,7.000,0,7.000,1.000,0,0,0,38.00,0,0,0,0,0,14.00,0,139.0,3.000,23.00,1.000,43.00,0,0,1.000,0,4.000,0,0,3.000,19.00,0,0,12.00,0,
299.0,308.0,254.0,1.000,27.00,1.000,0,6.000,0,0,0,0,3.000,0,0,18.00,5.000,0,0,6.000,0,16.00,0,0,0,0,47.00,0,1.000,1.000,0,0,12.00,0,28.00,14.00,2.000,1.000,27.00,0,0,0,0,4.000,2.000,0,1.000,29.00,0,0,28.00,0,
300.0,411.0,153.0,2.000,31.00,1.000,0,5.000,0,0,0,0,13.00,0,0,16.00,6.000,0,1.000,11.00,0,25.00,0,0,0,0,61.00,1.000,0,0,0,0,21.00,0,46.00,7.000,1.000,0,31.00,2.000,0,0,0,2.000,0,0,7.000,23.00,0,0,49.00,1.000,
305.0,203.0,93.00,1.000,24.00,11.00,0,5.000,0,0,0,0,2.000,1.000,0,9.000,2.000,0,0,8.000,0,9.000,1.000,0,0,0,16.00,0,0,3.000,0,0,6.000,0,20.00,2.000,0,0,15.00,0,0,0,0,3.000,3.000,0,6.000,15.00,0,0,19.00,0,
309.0,414.0,120.0,3.000,31.00,0,0,6.000,0,0,0,0,8.000,7.000,0,26.00,4.000,0,1.000,11.00,0,14.00,1.000,0,0,2.000,67.00,0,1.000,2.000,1.000,0,14.00,0,17.00,4.000,3.000,0,29.00,0,0,1.000,0,0,4.000,0,3.000,50.00,9.000,0,56.00,0,
312.0,430.0,181.0,4.000,30.00,2.000,0,9.000,1.000,0,0,0,5.000,0,0,16.00,0,0,0,14.00,0,0,1.000,0,0,1.000,52.00,0,0,0,0,0,18.00,0,41.00,2.000,3.000,1.000,74.00,2.000,0,0,0,4.000,2.000,0,2.000,19.00,0,0,49.00,0,
